id;node;profile;pLoad;qLoad;sR;subnet;voltLvl
EHV Load 36;EHV Bus 1827;HS1;318.533;104.7;335.299;EHV1;1
EHV Load 37;EHV Bus 455;HS1;292.008;95.98;307.377;EHV1;1
EHV Load 38;EHV Bus 33;HS10;11.9177;3.92;12.5458;EHV1;1
EHV Load 39;EHV Bus 435;HS10;40.1215;13.19;42.234;EHV1;1
EHV Load 40;EHV Bus 1467;HS10;15.0502;4.95;15.8433;EHV1;1
EHV Load 41;EHV Bus 1439;HS10;9.98479;3.28;10.5097;EHV1;1
EHV Load 42;EHV Bus 1435;HS10;29.828;9.8;31.3966;EHV1;1
EHV Load 43;EHV Bus 1949;HS10;58.1204;19.1;61.1784;EHV1;1
EHV Load 44;EHV Bus 247;HS10;26.5717;8.73;27.9691;EHV1;1
EHV Load 45;EHV Bus 409;HS10;27.2636;8.96;28.6982;EHV1;1
EHV Load 46;EHV Bus 407;HS10;63.756;20.96;67.113;EHV1;1
EHV Load 47;EHV Bus 1909;HS10;34.4348;11.32;36.2477;EHV1;1
EHV Load 48;EHV Bus 1741;HS10;28.8044;9.47;30.3212;EHV1;1
EHV Load 49;EHV Bus 1609;HS10;53.4066;17.55;56.2163;EHV1;1
EHV Load 50;EHV Bus 457;HS10;21.7008;7.13;22.8421;EHV1;1
EHV Load 51;EHV Bus 1477;HS10;48.3339;15.89;50.8789;EHV1;1
EHV Load 52;EHV Bus 1765;HS10;26.7522;8.79;28.1593;EHV1;1
EHV Load 53;EHV Bus 1621;HS10;53.5068;17.59;56.3239;EHV1;1
EHV Load 54;EHV Bus 1563;HS10;20.8777;6.86;21.9758;EHV1;1
EHV Load 55;EHV Bus 1565;HS10;7.10568;2.34;7.48106;EHV1;1
EHV Load 56;EHV Bus 1593;HS10;38.3134;12.59;40.329;EHV1;1
EHV Load 57;EHV Bus 1555;HS10;35.5252;11.68;37.396;EHV1;1
EHV Load 58;EHV Bus 245;HS10;28.1097;9.24;29.5894;EHV1;1
EHV Load 59;EHV Bus 213;HS10;38.5821;12.68;40.6123;EHV1;1
EHV Load 60;EHV Bus 1941;HS10;27.515;9.04;28.962;EHV1;1
EHV Load 61;EHV Bus 1679;HS10;44.4187;14.6;46.7566;EHV1;1
EHV Load 62;EHV Bus 251;HS10;26.5192;8.72;27.9161;EHV1;1
EHV Load 63;EHV Bus 1709;HS10;16.8854;5.55;17.7741;EHV1;1
EHV Load 64;EHV Bus 1543;HS10;31.4188;10.33;33.0734;EHV1;1
EHV Load 65;EHV Bus 1835;HS10;4.38697;1.44;4.61726;EHV1;1
EHV Load 66;EHV Bus 1855;HS10;28.9881;9.53;30.5144;EHV1;1
EHV Load 67;EHV Bus 1675;HS10;45.4908;14.95;47.8844;EHV1;1
EHV Load 68;EHV Bus 327;HS10;15.244;5.01;16.0462;EHV1;1
EHV Load 69;EHV Bus 1705;HS10;19.421;6.38;20.4421;EHV1;1
EHV Load 70;EHV Bus 329;HS10;49.1598;16.16;51.7478;EHV1;1
EHV Load 71;EHV Bus 1867;HS10;35.921;11.81;37.8126;EHV1;1
EHV Load 72;EHV Bus 1501;HS10;45.9518;15.1;48.3692;EHV1;1
EHV Load 73;EHV Bus 1703;HS10;72.3064;23.77;76.1133;EHV1;1
EHV Load 74;EHV Bus 1897;HS10;3.49092;1.15;3.67546;EHV1;1
EHV Load 75;EHV Bus 263;HS10;25.1109;8.25;26.4314;EHV1;1
EHV Load 76;EHV Bus 1929;HS10;54.0466;17.76;56.8898;EHV1;1
EHV Load 77;EHV Bus 1915;HS10;50.6143;16.64;53.2794;EHV1;1
EHV Load 78;EHV Bus 483;HS10;27.671;9.1;29.1289;EHV1;1
EHV Load 79;EHV Bus 265;HS10;44.6191;14.67;46.9689;EHV1;1
EHV Load 80;EHV Bus 1639;HS10;49.0862;16.13;51.6685;EHV1;1
EHV Load 81;EHV Bus 135;HS10;33.713;11.08;35.4871;EHV1;1
EHV Load 82;EHV Bus 1485;HS10;21.1199;6.94;22.2309;EHV1;1
EHV Load 83;EHV Bus 1455;HS10;40.8052;13.41;42.9522;EHV1;1
EHV Load 84;EHV Bus 141;HS10;58.1545;19.11;61.2139;EHV1;1
EHV Load 85;EHV Bus 1429;HS10;22.0338;7.24;23.1928;EHV1;1
EHV Load 86;EHV Bus 119;HS10;2.15943;0.71;2.27316;EHV1;1
EHV Load 87;EHV Bus 1925;HS11;173.104;56.9;182.216;EHV1;1
EHV Load 88;EHV Bus 319;HS11;131.873;43.34;138.812;EHV1;1
EHV Load 89;EHV Bus 87;HS11;203.525;66.9;214.238;EHV1;1
EHV Load 90;EHV Bus 127;HS11;141.806;46.61;149.27;EHV1;1
EHV Load 91;EHV Bus 1619;HS11;173.226;56.94;182.344;EHV1;1
EHV Load 92;EHV Bus 1625;HS11;134.832;44.32;141.929;EHV1;1
EHV Load 93;EHV Bus 1643;HS11;132.476;43.54;139.448;EHV1;1
EHV Load 94;EHV Bus 1561;HS11;148.045;48.66;155.837;EHV1;1
EHV Load 95;EHV Bus 219;HS11;160.791;52.85;169.254;EHV1;1
EHV Load 96;EHV Bus 1547;HS11;171.929;56.51;180.978;EHV1;1
EHV Load 97;EHV Bus 211;HS11;138.847;45.64;146.156;EHV1;1
EHV Load 98;EHV Bus 165;HS11;177.815;58.45;187.175;EHV1;1
EHV Load 99;EHV Bus 1585;HS11;179.066;58.86;188.492;EHV1;1
EHV Load 100;EHV Bus 1599;HS11;159.8;52.52;168.209;EHV1;1
EHV Load 101;EHV Bus 41;HS11;180.93;59.47;190.453;EHV1;1
EHV Load 102;EHV Bus 1961;HS11;153.465;50.44;161.542;EHV1;1
EHV Load 103;EHV Bus 1931;HS11;168.657;55.43;177.532;EHV1;1
EHV Load 104;EHV Bus 1823;HS11;135.62;44.58;142.759;EHV1;1
EHV Load 105;EHV Bus 1957;HS11;164.527;54.08;173.187;EHV1;1
EHV Load 106;EHV Bus 481;HS11;122.887;40.39;129.354;EHV1;1
EHV Load 107;EHV Bus 1857;HS11;186.791;61.4;196.624;EHV1;1
EHV Load 108;EHV Bus 111;HS11;130.076;42.75;136.921;EHV1;1
EHV Load 109;EHV Bus 363;HS11;153.04;50.3;161.094;EHV1;1
EHV Load 110;EHV Bus 1815;HS11;190.49;62.61;200.515;EHV1;1
EHV Load 111;EHV Bus 53;HS11;142.271;46.76;149.758;EHV1;1
EHV Load 112;EHV Bus 1771;HS11;152.179;50.02;160.189;EHV1;1
EHV Load 113;EHV Bus 1645;HS11;149.672;49.19;157.548;EHV1;1
EHV Load 114;EHV Bus 29;HS12;842.538;276.93;886.882;EHV1;1
EHV Load 115;EHV Bus 1461;HS13;199.926;65.71;210.448;EHV1;1
EHV Load 116;EHV Bus 1923;HS13;219.755;72.23;231.321;EHV1;1
EHV Load 117;EHV Bus 1473;HS13;203.188;66.78;213.881;EHV1;1
EHV Load 118;EHV Bus 173;HS13;241.759;79.46;254.482;EHV1;1
EHV Load 119;EHV Bus 1601;HS13;230.624;75.8;242.761;EHV1;1
EHV Load 120;EHV Bus 193;HS13;270.461;88.9;284.697;EHV1;1
EHV Load 121;EHV Bus 1637;HS13;195.347;64.21;205.629;EHV1;1
EHV Load 122;EHV Bus 307;HS13;300.544;98.78;316.361;EHV1;1
EHV Load 123;EHV Bus 107;HS14;174.195;57.26;183.365;EHV1;1
EHV Load 124;EHV Bus 1695;HS14;256.586;84.34;270.092;EHV1;1
EHV Load 125;EHV Bus 381;HS14;223.381;73.42;235.137;EHV1;1
EHV Load 126;EHV Bus 491;HS14;123.97;40.75;130.496;EHV1;1
EHV Load 127;EHV Bus 1895;HS15;111.665;36.7;117.541;EHV1;1
EHV Load 128;EHV Bus 1911;HS15;65.7629;21.62;69.2256;EHV1;1
EHV Load 129;EHV Bus 1953;HS15;133.422;43.85;140.443;EHV1;1
EHV Load 130;EHV Bus 1783;HS15;76.1095;25.02;80.1165;EHV1;1
EHV Load 131;EHV Bus 1779;HS15;81.8709;26.91;86.18;EHV1;1
EHV Load 132;EHV Bus 1775;HS15;68.9854;22.67;72.6148;EHV1;1
EHV Load 133;EHV Bus 1781;HS15;110.826;36.43;116.66;EHV1;1
EHV Load 134;EHV Bus 1533;HS15;63.1263;20.75;66.4492;EHV1;1
EHV Load 135;EHV Bus 1437;HS15;94.8132;31.16;99.8022;EHV1;1
EHV Load 136;EHV Bus 125;HS15;85.2378;28.02;89.7252;EHV1;1
EHV Load 137;EHV Bus 1951;HS15;115.41;37.93;121.483;EHV1;1
EHV Load 138;EHV Bus 1535;HS15;93.1618;30.62;98.0648;EHV1;1
EHV Load 139;EHV Bus 1507;HS15;71.769;23.59;75.5465;EHV1;1
EHV Load 140;EHV Bus 1947;HS15;108.613;35.7;114.33;EHV1;1
EHV Load 141;EHV Bus 231;HS15;59.8869;19.68;63.0376;EHV1;1
EHV Load 142;EHV Bus 1657;HS15;108.581;35.69;114.296;EHV1;1
EHV Load 143;EHV Bus 205;HS15;51.5086;16.93;54.2196;EHV1;1
EHV Load 144;EHV Bus 1559;HS15;93.8122;30.83;98.7483;EHV1;1
EHV Load 145;EHV Bus 163;HS15;98.5177;32.38;103.702;EHV1;1
EHV Load 146;EHV Bus 467;HS15;118.587;38.98;124.829;EHV1;1
EHV Load 147;EHV Bus 159;HS15;70.532;23.18;74.2434;EHV1;1
EHV Load 148;EHV Bus 167;HS15;98.3187;32.32;103.495;EHV1;1
EHV Load 149;EHV Bus 1737;HS15;101.085;33.22;106.404;EHV1;1
EHV Load 150;EHV Bus 285;HS15;65.8003;21.63;69.2643;EHV1;1
EHV Load 151;EHV Bus 405;HS15;107.327;35.28;112.977;EHV1;1
EHV Load 152;EHV Bus 351;HS15;104.946;34.49;110.468;EHV1;1
EHV Load 153;EHV Bus 1917;HS15;91.1527;29.96;95.9501;EHV1;1
EHV Load 154;EHV Bus 335;HS15;103.867;34.14;109.334;EHV1;1
EHV Load 155;EHV Bus 425;HS15;96.059;31.57;101.114;EHV1;1
EHV Load 156;EHV Bus 1801;HS15;91.6017;30.11;96.4235;EHV1;1
EHV Load 157;EHV Bus 1831;HS15;70.0658;23.03;73.7536;EHV1;1
EHV Load 158;EHV Bus 349;HS15;96.6472;31.77;101.735;EHV1;1
EHV Load 159;EHV Bus 341;HS15;59.2458;19.47;62.363;EHV1;1
EHV Load 160;EHV Bus 1519;HS15;161.702;53.15;170.213;EHV1;1
EHV Load 161;EHV Bus 1430;HS15;92.5558;30.42;97.4267;EHV1;1
EHV Load 162;EHV Bus 1635;HS15;89.439;29.4;94.1472;EHV1;1
EHV Load 163;EHV Bus 99;HS15;99.9572;32.85;105.217;EHV1;1
EHV Load 164;EHV Bus 493;HS15;80.6037;26.49;84.845;EHV1;1
EHV Load 165;EHV Bus 315;HS15;121.656;39.99;128.06;EHV1;1
EHV Load 166;EHV Bus 113;HS15;74.0057;24.32;77.8993;EHV1;1
EHV Load 167;EHV Bus 1755;HS15;94.3799;31.02;99.3469;EHV1;1
EHV Load 168;EHV Bus 489;HS15;63.5286;20.88;66.8719;EHV1;1
EHV Load 169;EHV Bus 1821;HS15;113.613;37.34;119.592;EHV1;1
EHV Load 170;EHV Bus 1759;HS15;96.2711;31.64;101.337;EHV1;1
EHV Load 171;EHV Bus 357;HS15;101.414;33.33;106.751;EHV1;1
EHV Load 172;EHV Bus 477;HS15;81.3041;26.72;85.5822;EHV1;1
EHV Load 173;EHV Bus 1483;HS15;116.924;38.43;123.078;EHV1;1
EHV Load 174;EHV Bus 7;HS16;229.754;75.52;241.847;EHV1;1
EHV Load 175;EHV Bus 191;HS16;307.739;101.15;323.936;EHV1;1
EHV Load 176;EHV Bus 1569;HS16;226.296;74.38;238.206;EHV1;1
EHV Load 177;EHV Bus 1589;HS16;269.446;88.56;283.627;EHV1;1
EHV Load 178;EHV Bus 1597;HS16;280.151;92.08;294.895;EHV1;1
EHV Load 179;EHV Bus 255;HS16;228.761;75.19;240.801;EHV1;1
EHV Load 180;EHV Bus 1875;HS16;270.345;88.86;284.574;EHV1;1
EHV Load 181;EHV Bus 325;HS16;242.717;79.78;255.492;EHV1;1
EHV Load 182;EHV Bus 1715;HS16;223.314;73.4;235.067;EHV1;1
EHV Load 183;EHV Bus 321;HS16;242.663;79.76;255.435;EHV1;1
EHV Load 184;EHV Bus 303;HS16;260.225;85.53;273.92;EHV1;1
EHV Load 185;EHV Bus 1687;HS16;200.937;66.04;211.511;EHV1;1
EHV Load 186;EHV Bus 287;HS16;247.201;81.25;260.211;EHV1;1
EHV Load 187;EHV Bus 411;HS16;222.705;73.2;234.426;EHV1;1
EHV Load 188;EHV Bus 1785;HS16;261.409;85.92;275.167;EHV1;1
EHV Load 189;EHV Bus 1883;HS16;237.453;78.05;249.951;EHV1;1
EHV Load 190;EHV Bus 235;HS16;227.367;74.73;239.333;EHV1;1
EHV Load 191;EHV Bus 429;HS16;246.019;80.86;258.967;EHV1;1
EHV Load 192;EHV Bus 1457;HS16;240.982;79.21;253.666;EHV1;1
EHV Load 193;EHV Bus 1825;HS16;317.161;104.25;333.855;EHV1;1
EHV Load 194;EHV Bus 1809;HS16;287.301;94.43;302.422;EHV1;1
EHV Load 195;EHV Bus 1447;HS16;318.372;104.64;335.127;EHV1;1
EHV Load 196;EHV Bus 1965;HS16;271.965;89.39;286.279;EHV1;1
EHV Load 197;EHV Bus 1475;HS16;274.437;90.2;288.88;EHV1;1
EHV Load 198;EHV Bus 485;HS17;437.046;143.65;460.048;EHV1;1
EHV Load 199;EHV Bus 1959;HS17;515.061;169.29;542.169;EHV1;1
EHV Load 200;EHV Bus 441;HS17;559.81;184;589.273;EHV1;1
EHV Load 201;EHV Bus 225;HS18;843.049;277.1;887.421;EHV1;1
EHV Load 202;EHV Bus 1865;hv_urban;543.467;214.79;584.372;EHV1_HV2;1
EHV Load 203;EHV Bus 387;HS19;403.389;132.59;424.621;EHV1;1
EHV Load 204;EHV Bus 1489;HS19;414.045;136.09;435.837;EHV1;1
EHV Load 205;EHV Bus 1851;HS2;577.502;189.82;607.898;EHV1;1
EHV Load 206;EHV Bus 145;HS20;495.217;162.77;521.281;EHV1;1
EHV Load 207;EHV Bus 1807;HS20;486.248;159.82;511.839;EHV1;1
EHV Load 208;EHV Bus 345;HS20;459.765;151.12;483.964;EHV1;1
EHV Load 209;EHV Bus 361;HS20;511.803;168.22;538.74;EHV1;1
EHV Load 210;EHV Bus 23;HS21;276.165;90.77;290.7;EHV1;1
EHV Load 211;EHV Bus 1905;HS22;245.604;80.73;258.532;EHV1;1
EHV Load 212;EHV Bus 1521;HS22;147.528;48.49;155.293;EHV1;1
EHV Load 213;EHV Bus 143;hv_mixed1;193.252;76.38;207.799;EHV1_HV1;1
EHV Load 214;EHV Bus 369;HS22;140.028;46.02;147.396;EHV1;1
EHV Load 215;EHV Bus 1471;HS22;136.293;44.8;143.467;EHV1;1
EHV Load 216;EHV Bus 1459;HS22;152.725;50.2;160.764;EHV1;1
EHV Load 217;EHV Bus 1817;HS22;161.151;52.97;169.633;EHV1;1
EHV Load 218;EHV Bus 1721;HS22;177.559;58.36;186.904;EHV1;1
EHV Load 219;EHV Bus 277;HS22;146.471;48.14;154.179;EHV1;1
EHV Load 220;EHV Bus 1505;HS22;161.626;53.12;170.131;EHV1;1
EHV Load 221;EHV Bus 1541;HS22;187.077;61.49;196.923;EHV1;1
EHV Load 222;EHV Bus 67;HS23;152.422;50.1;160.445;EHV1;1
EHV Load 223;EHV Bus 1537;HS23;124.161;40.81;130.696;EHV1;1
EHV Load 224;EHV Bus 1549;HS23;158.952;52.24;167.316;EHV1;1
EHV Load 225;EHV Bus 1591;HS23;164.132;53.95;172.771;EHV1;1
EHV Load 226;EHV Bus 185;HS23;151.95;49.94;159.946;EHV1;1
EHV Load 227;EHV Bus 1769;HS23;131.854;43.34;138.794;EHV1;1
EHV Load 228;EHV Bus 161;HS23;153.837;50.56;161.933;EHV1;1
EHV Load 229;EHV Bus 197;HS23;168.395;55.35;177.258;EHV1;1
EHV Load 230;EHV Bus 157;HS23;158.096;51.96;166.416;EHV1;1
EHV Load 231;EHV Bus 1717;HS23;139.445;45.83;146.783;EHV1;1
EHV Load 232;EHV Bus 1725;HS23;145.512;47.83;153.171;EHV1;1
EHV Load 233;EHV Bus 413;HS23;184.547;60.66;194.261;EHV1;1
EHV Load 234;EHV Bus 427;HS23;123.925;40.73;130.447;EHV1;1
EHV Load 235;EHV Bus 415;HS23;170.106;55.91;179.059;EHV1;1
EHV Load 236;EHV Bus 337;HS23;183.372;60.27;193.023;EHV1;1
EHV Load 237;EHV Bus 233;HS23;147.499;48.48;155.262;EHV1;1
EHV Load 238;EHV Bus 1901;HS23;172.743;56.78;181.835;EHV1;1
EHV Load 239;EHV Bus 1697;HS23;139.605;45.89;146.954;EHV1;1
EHV Load 240;EHV Bus 469;HS23;162.173;53.3;170.707;EHV1;1
EHV Load 241;EHV Bus 1871;HS23;187.099;61.5;196.947;EHV1;1
EHV Load 242;EHV Bus 1853;HS23;132.969;43.7;139.966;EHV1;1
EHV Load 243;EHV Bus 1487;HS23;180.907;59.46;190.428;EHV1;1
EHV Load 244;EHV Bus 101;HS23;146.906;48.29;154.639;EHV1;1
EHV Load 245;EHV Bus 1445;HS23;198.063;65.1;208.487;EHV1;1
EHV Load 246;EHV Bus 1819;HS23;172.119;56.57;181.177;EHV1;1
EHV Load 247;EHV Bus 1797;HS23;176.072;57.87;185.338;EHV1;1
EHV Load 248;EHV Bus 1753;HS23;203.34;66.83;214.041;EHV1;1
EHV Load 249;EHV Bus 1757;HS23;157.262;51.69;165.539;EHV1;1
EHV Load 250;EHV Bus 103;HS23;159.765;52.51;168.173;EHV1;1
EHV Load 251;EHV Bus 317;HS23;134.55;44.22;141.63;EHV1;1
EHV Load 252;EHV Bus 1773;HS24;258.819;85.07;272.441;EHV1;1
EHV Load 253;EHV Bus 1763;HS24;190.918;62.75;200.966;EHV1;1
EHV Load 254;EHV Bus 1433;HS24;267.052;87.78;281.109;EHV1;1
EHV Load 255;EHV Bus 465;HS24;200.461;65.89;211.012;EHV1;1
EHV Load 256;EHV Bus 1595;HS24;205.444;67.53;216.258;EHV1;1
EHV Load 257;EHV Bus 1515;HS24;200.588;65.93;211.145;EHV1;1
EHV Load 258;EHV Bus 275;HS24;190.665;62.67;200.7;EHV1;1
EHV Load 259;EHV Bus 1885;HS24;176.678;58.07;185.976;EHV1;1
EHV Load 260;EHV Bus 1733;HS24;216.43;71.14;227.822;EHV1;1
EHV Load 261;EHV Bus 1869;HS24;198.224;65.15;208.656;EHV1;1
EHV Load 262;EHV Bus 1443;HS24;176.94;58.16;186.253;EHV1;1
EHV Load 263;EHV Bus 383;HS24;229.594;75.46;241.677;EHV1;1
EHV Load 264;EHV Bus 97;HS25;591.599;194.45;622.736;EHV1;1
EHV Load 265;EHV Bus 451;HS26;362.508;119.15;381.587;EHV1;1
EHV Load 266;EHV Bus 313;HS26;391.208;128.58;411.797;EHV1;1
EHV Load 267;EHV Bus 249;HS26;403.055;132.48;424.269;EHV1;1
EHV Load 268;EHV Bus 1889;HS26;397.005;130.49;417.9;EHV1;1
EHV Load 269;EHV Bus 1793;HS26;355.524;116.86;374.237;EHV1;1
EHV Load 270;EHV Bus 1859;HS26;312.898;102.84;329.365;EHV1;1
EHV Load 271;EHV Bus 1873;HS26;312.342;102.66;328.78;EHV1;1
EHV Load 272;EHV Bus 1509;HS27;405.724;133.35;427.076;EHV1;1
EHV Load 273;EHV Bus 1665;HS27;306.429;100.72;322.557;EHV1;1
EHV Load 274;EHV Bus 1603;HS27;325.075;106.85;342.185;EHV1;1
EHV Load 275;EHV Bus 45;HS27;355.014;116.69;373.7;EHV1;1
EHV Load 276;EHV Bus 1685;HS27;302.966;99.58;318.912;EHV1;1
EHV Load 277;EHV Bus 1787;HS27;361.572;118.84;380.601;EHV1;1
EHV Load 278;EHV Bus 1767;HS27;320.125;105.22;336.974;EHV1;1
EHV Load 279;EHV Bus 95;HS27;323.157;106.22;340.166;EHV1;1
EHV Load 280;EHV Bus 93;HS3;629.844;207.02;662.994;EHV1;1
EHV Load 281;EHV Bus 423;HS3;709.937;233.34;747.301;EHV1;1
EHV Load 282;EHV Bus 393;HS4;1255.9;412.79;1322;EHV1;1
EHV Load 283;EHV Bus 1893;HS5;59.3774;19.52;62.5036;EHV1;1
EHV Load 284;EHV Bus 9;HS5;112.711;37.05;118.644;EHV1;1
EHV Load 285;EHV Bus 1465;HS5;76.5405;25.16;80.5697;EHV1;1
EHV Load 286;EHV Bus 1481;HS5;76.1422;25.03;80.1507;EHV1;1
EHV Load 287;EHV Bus 1463;HS5;75.199;24.72;79.1579;EHV1;1
EHV Load 288;EHV Bus 21;HS5;117.675;38.68;123.869;EHV1;1
EHV Load 289;EHV Bus 37;HS5;82.6607;27.17;87.0115;EHV1;1
EHV Load 290;EHV Bus 1723;HS5;61.9546;20.36;65.2143;EHV1;1
EHV Load 291;EHV Bus 1441;HS5;72.7239;23.9;76.5505;EHV1;1
EHV Load 292;EHV Bus 77;HS5;80.4865;26.45;84.7212;EHV1;1
EHV Load 293;EHV Bus 1;HS5;90.0483;29.6;94.7885;EHV1;1
EHV Load 294;EHV Bus 1689;HS5;63.382;20.83;66.7171;EHV1;1
EHV Load 295;EHV Bus 471;HS5;75.1673;24.71;79.1246;EHV1;1
EHV Load 296;EHV Bus 1881;HS5;94.7126;31.13;99.6973;EHV1;1
EHV Load 297;EHV Bus 1879;HS5;84.8727;27.9;89.3408;EHV1;1
EHV Load 298;EHV Bus 11;HS5;92.7562;30.49;97.6389;EHV1;1
EHV Load 299;EHV Bus 1663;HS5;102.543;33.7;107.939;EHV1;1
EHV Load 300;EHV Bus 57;hv_mixed2;193.252;76.38;207.799;EHV1_HV1;1
EHV Load 301;EHV Bus 1966;HS5;113.875;37.43;119.869;EHV1;1
EHV Load 302;EHV Bus 1739;HS5;111.373;36.61;117.236;EHV1;1
EHV Load 303;EHV Bus 187;HS5;63.9322;21.01;67.296;EHV1;1
EHV Load 304;EHV Bus 461;HS5;74.3156;24.43;78.2281;EHV1;1
EHV Load 305;EHV Bus 1945;HS5;87.5016;28.76;92.1068;EHV1;1
EHV Load 306;EHV Bus 1861;HS5;70.0231;23.02;73.7099;EHV1;1
EHV Load 307;EHV Bus 105;HS5;92.0487;30.25;96.8918;EHV1;1
EHV Load 308;EHV Bus 1903;HS5;76.3743;25.1;80.3931;EHV1;1
EHV Load 309;EHV Bus 1659;HS5;58.7767;19.32;61.8705;EHV1;1
EHV Load 310;EHV Bus 1813;HS5;67.7287;22.26;71.2929;EHV1;1
EHV Load 311;EHV Bus 1919;HS5;99.3266;32.65;104.555;EHV1;1
EHV Load 312;EHV Bus 512;HS5;98.0754;32.24;103.239;EHV1;1
EHV Load 313;EHV Bus 433;HS5;111.333;36.59;117.192;EHV1;1
EHV Load 314;EHV Bus 1499;HS5;69.916;22.98;73.5957;EHV1;1
EHV Load 315;EHV Bus 1863;HS5;91.7524;30.16;96.5822;EHV1;1
EHV Load 316;EHV Bus 1907;HS5;73.7827;24.25;77.6656;EHV1;1
EHV Load 317;EHV Bus 403;HS5;90.6533;29.8;95.4257;EHV1;1
EHV Load 318;EHV Bus 1729;HS5;101.227;33.27;106.554;EHV1;1
EHV Load 319;EHV Bus 1955;HS5;84.5834;27.8;89.0348;EHV1;1
EHV Load 320;EHV Bus 291;HS5;81.458;26.77;85.744;EHV1;1
EHV Load 321;EHV Bus 1449;HS5;58.0888;19.09;61.1452;EHV1;1
EHV Load 322;EHV Bus 1451;HS5;81.4315;26.77;85.7189;EHV1;1
EHV Load 323;EHV Bus 1829;HS5;85.3654;28.06;89.8589;EHV1;1
EHV Load 324;EHV Bus 333;HS5;63.2609;20.79;66.5895;EHV1;1
EHV Load 325;EHV Bus 431;HS5;69.9588;22.99;73.6395;EHV1;1
EHV Load 326;EHV Bus 51;HS5;109.119;35.87;114.863;EHV1;1
EHV Load 327;EHV Bus 55;HS5;74.3927;24.45;78.3076;EHV1;1
EHV Load 328;EHV Bus 1933;HS5;81.5273;26.8;85.8192;EHV1;1
EHV Load 329;EHV Bus 1649;hv_mixed3;193.252;76.38;207.799;EHV1_HV1;1
EHV Load 330;EHV Bus 1631;HS5;67.1547;22.07;70.6883;EHV1;1
EHV Load 331;EHV Bus 1607;HS6;229.256;75.35;241.321;EHV1;1
EHV Load 332;EHV Bus 1761;HS6;219.931;72.29;231.507;EHV1;1
EHV Load 333;EHV Bus 259;HS6;188.135;61.84;198.038;EHV1;1
EHV Load 334;EHV Bus 1523;HS6;247.32;81.29;260.337;EHV1;1
EHV Load 335;EHV Bus 1567;HS6;181.553;59.67;191.107;EHV1;1
EHV Load 336;EHV Bus 1633;HS6;223.663;73.51;235.433;EHV1;1
EHV Load 337;EHV Bus 217;HS6;220.4;72.44;231.999;EHV1;1
