id;element1;element2;variable;subnet;voltLvl
measurement 208;EHV Bus 1147;NULL;p;EHV1;1
measurement 209;EHV Bus 1147;NULL;q;EHV1;1
measurement 210;EHV Bus 1147;NULL;v;EHV1;1
measurement 211;EHV Bus 1552;NULL;p;EHV1;1
measurement 212;EHV Bus 1552;NULL;q;EHV1;1
measurement 213;EHV Bus 1552;NULL;v;EHV1;1
measurement 214;EHV Bus 404;NULL;p;EHV1;1
measurement 215;EHV Bus 404;NULL;q;EHV1;1
measurement 216;EHV Bus 404;NULL;v;EHV1;1
measurement 217;EHV Bus 1799;NULL;p;EHV1;1
measurement 218;EHV Bus 1799;NULL;q;EHV1;1
measurement 219;EHV Bus 1799;NULL;v;EHV1;1
measurement 220;EHV Bus 1056;NULL;p;EHV1;1
measurement 221;EHV Bus 1056;NULL;q;EHV1;1
measurement 222;EHV Bus 1056;NULL;v;EHV1;1
measurement 223;EHV Bus 592;NULL;p;EHV1;1
measurement 224;EHV Bus 592;NULL;q;EHV1;1
measurement 225;EHV Bus 592;NULL;v;EHV1;1
measurement 226;EHV Bus 1900;NULL;p;EHV1;1
measurement 227;EHV Bus 1900;NULL;q;EHV1;1
measurement 228;EHV Bus 1900;NULL;v;EHV1;1
measurement 229;EHV Bus 702;NULL;p;EHV1;1
measurement 230;EHV Bus 702;NULL;q;EHV1;1
measurement 231;EHV Bus 702;NULL;v;EHV1;1
measurement 232;EHV Bus 441;NULL;p;EHV1;1
measurement 233;EHV Bus 441;NULL;q;EHV1;1
measurement 234;EHV Bus 441;NULL;v;EHV1;1
measurement 235;EHV Bus 2061;NULL;p;EHV1;1
measurement 236;EHV Bus 2061;NULL;q;EHV1;1
measurement 237;EHV Bus 2061;NULL;v;EHV1;1
measurement 238;EHV Bus 1890;NULL;p;EHV1;1
measurement 239;EHV Bus 1890;NULL;q;EHV1;1
measurement 240;EHV Bus 1890;NULL;v;EHV1;1
measurement 241;EHV Bus 1395;NULL;p;EHV1;1
measurement 242;EHV Bus 1395;NULL;q;EHV1;1
measurement 243;EHV Bus 1395;NULL;v;EHV1;1
measurement 244;EHV Bus 1933;NULL;p;EHV1;1
measurement 245;EHV Bus 1933;NULL;q;EHV1;1
measurement 246;EHV Bus 1933;NULL;v;EHV1;1
measurement 247;EHV Bus 2724;NULL;p;EHV1;1
measurement 248;EHV Bus 2724;NULL;q;EHV1;1
measurement 249;EHV Bus 2724;NULL;v;EHV1;1
measurement 250;EHV Bus 2906;NULL;p;EHV1;1
measurement 251;EHV Bus 2906;NULL;q;EHV1;1
measurement 252;EHV Bus 2906;NULL;v;EHV1;1
measurement 253;EHV Bus 532;NULL;p;EHV1;1
measurement 254;EHV Bus 532;NULL;q;EHV1;1
measurement 255;EHV Bus 532;NULL;v;EHV1;1
measurement 256;EHV Bus 2023;NULL;p;EHV1;1
measurement 257;EHV Bus 2023;NULL;q;EHV1;1
measurement 258;EHV Bus 2023;NULL;v;EHV1;1
measurement 259;EHV Bus 206;NULL;p;EHV1;1
measurement 260;EHV Bus 206;NULL;q;EHV1;1
measurement 261;EHV Bus 206;NULL;v;EHV1;1
measurement 262;EHV Bus 2463;NULL;p;EHV1;1
measurement 263;EHV Bus 2463;NULL;q;EHV1;1
measurement 264;EHV Bus 2463;NULL;v;EHV1;1
measurement 265;EHV Bus 2470;NULL;p;EHV1;1
measurement 266;EHV Bus 2470;NULL;q;EHV1;1
measurement 267;EHV Bus 2470;NULL;v;EHV1;1
measurement 268;EHV Bus 2167;NULL;p;EHV1;1
measurement 269;EHV Bus 2167;NULL;q;EHV1;1
measurement 270;EHV Bus 2167;NULL;v;EHV1;1
measurement 271;EHV Bus 1321;NULL;p;EHV1;1
measurement 272;EHV Bus 1321;NULL;q;EHV1;1
measurement 273;EHV Bus 1321;NULL;v;EHV1;1
measurement 274;EHV Bus 2199;NULL;p;EHV1;1
measurement 275;EHV Bus 2199;NULL;q;EHV1;1
measurement 276;EHV Bus 2199;NULL;v;EHV1;1
measurement 277;EHV Bus 2798;NULL;p;EHV1;1
measurement 278;EHV Bus 2798;NULL;q;EHV1;1
measurement 279;EHV Bus 2798;NULL;v;EHV1;1
measurement 280;EHV Bus 1501;NULL;p;EHV1;1
measurement 281;EHV Bus 1501;NULL;q;EHV1;1
measurement 282;EHV Bus 1501;NULL;v;EHV1;1
measurement 283;EHV Bus 2652;NULL;p;EHV1;1
measurement 284;EHV Bus 2652;NULL;q;EHV1;1
measurement 285;EHV Bus 2652;NULL;v;EHV1;1
measurement 286;EHV Bus 2227;NULL;p;EHV1;1
measurement 287;EHV Bus 2227;NULL;q;EHV1;1
measurement 288;EHV Bus 2227;NULL;v;EHV1;1
measurement 289;EHV Bus 1815;NULL;p;EHV1;1
measurement 290;EHV Bus 1815;NULL;q;EHV1;1
measurement 291;EHV Bus 1815;NULL;v;EHV1;1
measurement 292;EHV Bus 865;NULL;p;EHV1;1
measurement 293;EHV Bus 865;NULL;q;EHV1;1
measurement 294;EHV Bus 865;NULL;v;EHV1;1
measurement 295;EHV Bus 549;NULL;p;EHV1;1
measurement 296;EHV Bus 549;NULL;q;EHV1;1
measurement 297;EHV Bus 549;NULL;v;EHV1;1
measurement 298;EHV Bus 1905;NULL;p;EHV1;1
measurement 299;EHV Bus 1905;NULL;q;EHV1;1
measurement 300;EHV Bus 1905;NULL;v;EHV1;1
measurement 301;EHV Bus 372;NULL;p;EHV1;1
measurement 302;EHV Bus 372;NULL;q;EHV1;1
measurement 303;EHV Bus 372;NULL;v;EHV1;1
measurement 304;EHV Bus 3077;NULL;p;EHV1;1
measurement 305;EHV Bus 3077;NULL;q;EHV1;1
measurement 306;EHV Bus 3077;NULL;v;EHV1;1
measurement 307;EHV Bus 2368;NULL;p;EHV1;1
measurement 308;EHV Bus 2368;NULL;q;EHV1;1
measurement 309;EHV Bus 2368;NULL;v;EHV1;1
measurement 310;EHV Bus 2255;NULL;p;EHV1;1
measurement 311;EHV Bus 2255;NULL;q;EHV1;1
measurement 312;EHV Bus 2255;NULL;v;EHV1;1
measurement 313;EHV Bus 247;NULL;p;EHV1;1
measurement 314;EHV Bus 247;NULL;q;EHV1;1
measurement 315;EHV Bus 247;NULL;v;EHV1;1
measurement 316;EHV Bus 1412;NULL;p;EHV1;1
measurement 317;EHV Bus 1412;NULL;q;EHV1;1
measurement 318;EHV Bus 1412;NULL;v;EHV1;1
measurement 319;EHV Bus 1182;NULL;p;EHV1;1
measurement 320;EHV Bus 1182;NULL;q;EHV1;1
measurement 321;EHV Bus 1182;NULL;v;EHV1;1
measurement 322;EHV Bus 1329;NULL;p;EHV1;1
measurement 323;EHV Bus 1329;NULL;q;EHV1;1
measurement 324;EHV Bus 1329;NULL;v;EHV1;1
measurement 325;EHV Bus 1756;NULL;p;EHV1;1
measurement 326;EHV Bus 1756;NULL;q;EHV1;1
measurement 327;EHV Bus 1756;NULL;v;EHV1;1
measurement 328;EHV Bus 2591;NULL;p;EHV1;1
measurement 329;EHV Bus 2591;NULL;q;EHV1;1
measurement 330;EHV Bus 2591;NULL;v;EHV1;1
measurement 331;EHV Bus 2495;NULL;p;EHV1;1
measurement 332;EHV Bus 2495;NULL;q;EHV1;1
measurement 333;EHV Bus 2495;NULL;v;EHV1;1
measurement 334;EHV Bus 2293;NULL;p;EHV1;1
measurement 335;EHV Bus 2293;NULL;q;EHV1;1
measurement 336;EHV Bus 2293;NULL;v;EHV1;1
measurement 337;EHV Bus 100;NULL;p;EHV1;1
measurement 338;EHV Bus 100;NULL;q;EHV1;1
measurement 339;EHV Bus 100;NULL;v;EHV1;1
measurement 340;EHV Bus 75;NULL;p;EHV1;1
measurement 341;EHV Bus 75;NULL;q;EHV1;1
measurement 342;EHV Bus 75;NULL;v;EHV1;1
measurement 343;EHV Bus 2304;NULL;p;EHV1;1
measurement 344;EHV Bus 2304;NULL;q;EHV1;1
measurement 345;EHV Bus 2304;NULL;v;EHV1;1
measurement 346;EHV Bus 1054;NULL;p;EHV1;1
measurement 347;EHV Bus 1054;NULL;q;EHV1;1
measurement 348;EHV Bus 1054;NULL;v;EHV1;1
measurement 349;EHV Bus 427;NULL;p;EHV1;1
measurement 350;EHV Bus 427;NULL;q;EHV1;1
measurement 351;EHV Bus 427;NULL;v;EHV1;1
measurement 352;EHV Bus 2101;NULL;p;EHV1;1
measurement 353;EHV Bus 2101;NULL;q;EHV1;1
measurement 354;EHV Bus 2101;NULL;v;EHV1;1
measurement 355;EHV Bus 2873;NULL;p;EHV1;1
measurement 356;EHV Bus 2873;NULL;q;EHV1;1
measurement 357;EHV Bus 2873;NULL;v;EHV1;1
measurement 358;EHV Bus 2211;NULL;p;EHV1;1
measurement 359;EHV Bus 2211;NULL;q;EHV1;1
measurement 360;EHV Bus 2211;NULL;v;EHV1;1
measurement 361;EHV Bus 2438;NULL;p;EHV1;1
measurement 362;EHV Bus 2438;NULL;q;EHV1;1
measurement 363;EHV Bus 2438;NULL;v;EHV1;1
measurement 364;EHV Bus 770;NULL;p;EHV1;1
measurement 365;EHV Bus 770;NULL;q;EHV1;1
measurement 366;EHV Bus 770;NULL;v;EHV1;1
measurement 367;EHV Bus 826;NULL;p;EHV1;1
measurement 368;EHV Bus 826;NULL;q;EHV1;1
measurement 369;EHV Bus 826;NULL;v;EHV1;1
measurement 370;EHV Bus 2014;NULL;p;EHV1;1
measurement 371;EHV Bus 2014;NULL;q;EHV1;1
measurement 372;EHV Bus 2014;NULL;v;EHV1;1
measurement 373;EHV Bus 886;NULL;p;EHV1;1
measurement 374;EHV Bus 886;NULL;q;EHV1;1
measurement 375;EHV Bus 886;NULL;v;EHV1;1
measurement 376;EHV Bus 2113;NULL;p;EHV1;1
measurement 377;EHV Bus 2113;NULL;q;EHV1;1
measurement 378;EHV Bus 2113;NULL;v;EHV1;1
measurement 379;EHV Bus 2885;NULL;p;EHV1;1
measurement 380;EHV Bus 2885;NULL;q;EHV1;1
measurement 381;EHV Bus 2885;NULL;v;EHV1;1
measurement 382;EHV Bus 272;NULL;p;EHV1;1
measurement 383;EHV Bus 272;NULL;q;EHV1;1
measurement 384;EHV Bus 272;NULL;v;EHV1;1
measurement 385;EHV Bus 3081;NULL;p;EHV1;1
measurement 386;EHV Bus 3081;NULL;q;EHV1;1
measurement 387;EHV Bus 3081;NULL;v;EHV1;1
measurement 388;EHV Bus 2370;NULL;p;EHV1;1
measurement 389;EHV Bus 2370;NULL;q;EHV1;1
measurement 390;EHV Bus 2370;NULL;v;EHV1;1
measurement 391;EHV Bus 3007;NULL;p;EHV1;1
measurement 392;EHV Bus 3007;NULL;q;EHV1;1
measurement 393;EHV Bus 3007;NULL;v;EHV1;1
measurement 394;EHV Bus 2761;NULL;p;EHV1;1
measurement 395;EHV Bus 2761;NULL;q;EHV1;1
measurement 396;EHV Bus 2761;NULL;v;EHV1;1
measurement 397;EHV Bus 3013;NULL;p;EHV1;1
measurement 398;EHV Bus 3013;NULL;q;EHV1;1
measurement 399;EHV Bus 3013;NULL;v;EHV1;1
measurement 400;EHV Bus 484;NULL;p;EHV1;1
measurement 401;EHV Bus 484;NULL;q;EHV1;1
measurement 402;EHV Bus 484;NULL;v;EHV1;1
measurement 403;EHV Bus 2899;NULL;p;EHV1;1
measurement 404;EHV Bus 2899;NULL;q;EHV1;1
measurement 405;EHV Bus 2899;NULL;v;EHV1;1
measurement 406;EHV Bus 1696;NULL;p;EHV1;1
measurement 407;EHV Bus 1696;NULL;q;EHV1;1
measurement 408;EHV Bus 1696;NULL;v;EHV1;1
measurement 409;EHV Bus 1347;NULL;p;EHV1;1
measurement 410;EHV Bus 1347;NULL;q;EHV1;1
measurement 411;EHV Bus 1347;NULL;v;EHV1;1
measurement 412;EHV Bus 2965;NULL;p;EHV1;1
measurement 413;EHV Bus 2965;NULL;q;EHV1;1
measurement 414;EHV Bus 2965;NULL;v;EHV1;1
measurement 415;EHV Bus 1883;NULL;p;EHV1;1
measurement 416;EHV Bus 1883;NULL;q;EHV1;1
measurement 417;EHV Bus 1883;NULL;v;EHV1;1
measurement 418;EHV Bus 365;NULL;p;EHV1;1
measurement 419;EHV Bus 365;NULL;q;EHV1;1
measurement 420;EHV Bus 365;NULL;v;EHV1;1
measurement 421;EHV Bus 447;NULL;p;EHV1;1
measurement 422;EHV Bus 447;NULL;q;EHV1;1
measurement 423;EHV Bus 447;NULL;v;EHV1;1
measurement 424;EHV Bus 1421;NULL;p;EHV1;1
measurement 425;EHV Bus 1421;NULL;q;EHV1;1
measurement 426;EHV Bus 1421;NULL;v;EHV1;1
measurement 427;EHV Bus 1408;NULL;p;EHV1;1
measurement 428;EHV Bus 1408;NULL;q;EHV1;1
measurement 429;EHV Bus 1408;NULL;v;EHV1;1
measurement 430;EHV Bus 1251;NULL;p;EHV1;1
measurement 431;EHV Bus 1251;NULL;q;EHV1;1
measurement 432;EHV Bus 1251;NULL;v;EHV1;1
measurement 433;EHV Bus 2000;NULL;p;EHV1;1
measurement 434;EHV Bus 2000;NULL;q;EHV1;1
measurement 435;EHV Bus 2000;NULL;v;EHV1;1
measurement 436;EHV Bus 322;NULL;p;EHV1;1
measurement 437;EHV Bus 322;NULL;q;EHV1;1
measurement 438;EHV Bus 322;NULL;v;EHV1;1
measurement 439;EHV Bus 1175;NULL;p;EHV1;1
measurement 440;EHV Bus 1175;NULL;q;EHV1;1
measurement 441;EHV Bus 1175;NULL;v;EHV1;1
measurement 442;EHV Bus 85;NULL;p;EHV1;1
measurement 443;EHV Bus 85;NULL;q;EHV1;1
measurement 444;EHV Bus 85;NULL;v;EHV1;1
measurement 445;EHV Bus 816;NULL;p;EHV1;1
measurement 446;EHV Bus 816;NULL;q;EHV1;1
measurement 447;EHV Bus 816;NULL;v;EHV1;1
measurement 448;EHV Bus 2474;NULL;p;EHV1;1
measurement 449;EHV Bus 2474;NULL;q;EHV1;1
measurement 450;EHV Bus 2474;NULL;v;EHV1;1
measurement 451;EHV Bus 2614;NULL;p;EHV1;1
measurement 452;EHV Bus 2614;NULL;q;EHV1;1
measurement 453;EHV Bus 2614;NULL;v;EHV1;1
measurement 454;EHV Bus 1011;NULL;p;EHV1;1
measurement 455;EHV Bus 1011;NULL;q;EHV1;1
measurement 456;EHV Bus 1011;NULL;v;EHV1;1
measurement 457;EHV Bus 2749;NULL;p;EHV1;1
measurement 458;EHV Bus 2749;NULL;q;EHV1;1
measurement 459;EHV Bus 2749;NULL;v;EHV1;1
measurement 460;EHV Bus 2202;NULL;p;EHV1;1
measurement 461;EHV Bus 2202;NULL;q;EHV1;1
measurement 462;EHV Bus 2202;NULL;v;EHV1;1
measurement 463;EHV Bus 641;NULL;p;EHV1;1
measurement 464;EHV Bus 641;NULL;q;EHV1;1
measurement 465;EHV Bus 641;NULL;v;EHV1;1
measurement 466;EHV Bus 1268;NULL;p;EHV1;1
measurement 467;EHV Bus 1268;NULL;q;EHV1;1
measurement 468;EHV Bus 1268;NULL;v;EHV1;1
measurement 469;EHV Bus 347;NULL;p;EHV1;1
measurement 470;EHV Bus 347;NULL;q;EHV1;1
measurement 471;EHV Bus 347;NULL;v;EHV1;1
measurement 472;EHV Bus 2220;NULL;p;EHV1;1
measurement 473;EHV Bus 2220;NULL;q;EHV1;1
measurement 474;EHV Bus 2220;NULL;v;EHV1;1
measurement 475;EHV Bus 1283;NULL;p;EHV1;1
measurement 476;EHV Bus 1283;NULL;q;EHV1;1
measurement 477;EHV Bus 1283;NULL;v;EHV1;1
measurement 478;EHV Bus 2699;NULL;p;EHV1;1
measurement 479;EHV Bus 2699;NULL;q;EHV1;1
measurement 480;EHV Bus 2699;NULL;v;EHV1;1
measurement 481;EHV Bus 1837;NULL;p;EHV1;1
measurement 482;EHV Bus 1837;NULL;q;EHV1;1
measurement 483;EHV Bus 1837;NULL;v;EHV1;1
measurement 484;EHV Bus 1023;NULL;p;EHV1;1
measurement 485;EHV Bus 1023;NULL;q;EHV1;1
measurement 486;EHV Bus 1023;NULL;v;EHV1;1
