id;node;type;profile;pStor;qStor;chargeLevel;sR;max_e_mwh;efficiency_percent;self-discharge_percent_per_day;pMin;pMax;qMin;qMax;subnet;voltLvl
HV2 Storage 9;HV2 Bus 83;PV_Storage;mv_urban;-6.1888;0;0.5;6.1888;12.3696;0.95;0.13;-6.1888;0;-6.1888;6.1888;HV2;3
HV2 Storage 10;HV2 Bus 195;PV_Storage;mv_urban;-6.1888;0;0.5;6.1888;12.3696;0.95;0.13;-6.1888;0;-6.1888;6.1888;HV2;3
HV2 Storage 11;HV2 Bus 161;PV_Storage;mv_comm;-3.0991;0;0.5;3.0991;6.19431;0.95;0.13;-3.0991;0;-3.0991;3.0991;HV2;3
HV2 Storage 12;HV2 Bus 163;PV_Storage;mv_comm;-3.0991;0;0.5;3.0991;6.19431;0.95;0.13;-3.0991;0;-3.0991;3.0991;HV2;3
HV2 Storage 13;HV2 Bus 278;PV_Storage;mv_comm;-3.0991;0;0.5;3.0991;6.19431;0.95;0.13;-3.0991;0;-3.0991;3.0991;HV2;3
MV1.101 MV Storage 1;MV1.101 Bus 4;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.101_eq;5
MV1.101 MV Storage 2;MV1.101 Bus 5;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.102_eq;5
MV1.101 MV Storage 3;MV1.101 Bus 6;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.103_eq;5
MV1.101 MV Storage 4;MV1.101 Bus 7;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.104_eq;5
MV1.101 MV Storage 5;MV1.101 Bus 19;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.105_eq;5
MV1.101 MV Storage 6;MV1.101 Bus 20;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.106_eq;5
MV1.101 MV Storage 7;MV1.101 Bus 21;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.107_eq;5
MV1.101 MV Storage 8;MV1.101 Bus 22;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.108_eq;5
MV1.101 MV Storage 9;MV1.101 Bus 25;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.109_eq;5
MV1.101 MV Storage 10;MV1.101 Bus 27;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.110_eq;5
MV1.101 MV Storage 11;MV1.101 Bus 28;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.111_eq;5
MV1.101 MV Storage 12;MV1.101 Bus 29;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.112_eq;5
MV1.101 MV Storage 13;MV1.101 Bus 30;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.113_eq;5
MV1.101 MV Storage 14;MV1.101 Bus 40;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.114_eq;5
MV1.101 MV Storage 15;MV1.101 Bus 41;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.115_eq;5
MV1.101 MV Storage 16;MV1.101 Bus 43;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.116_eq;5
MV1.101 MV Storage 17;MV1.101 Bus 44;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.117_eq;5
MV1.101 MV Storage 18;MV1.101 Bus 45;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.118_eq;5
MV1.101 MV Storage 19;MV1.101 Bus 46;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.119_eq;5
MV1.101 MV Storage 20;MV1.101 Bus 47;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.120_eq;5
MV1.101 MV Storage 21;MV1.101 Bus 48;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.121_eq;5
MV1.101 MV Storage 22;MV1.101 Bus 58;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.122_eq;5
MV1.101 MV Storage 23;MV1.101 Bus 59;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.123_eq;5
MV1.101 MV Storage 24;MV1.101 Bus 63;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.124_eq;5
MV1.101 MV Storage 25;MV1.101 Bus 68;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.125_eq;5
MV1.101 MV Storage 26;MV1.101 Bus 70;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.126_eq;5
MV1.101 MV Storage 27;MV1.101 Bus 75;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.127_eq;5
MV1.101 MV Storage 28;MV1.101 Bus 76;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.128_eq;5
MV1.101 MV Storage 29;MV1.101 Bus 77;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.129_eq;5
MV1.101 MV Storage 30;MV1.101 Bus 87;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.130_eq;5
MV1.101 MV Storage 31;MV1.101 Bus 88;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.131_eq;5
MV1.101 MV Storage 32;MV1.101 Bus 89;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.132_eq;5
MV1.101 MV Storage 33;MV1.101 Bus 90;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.133_eq;5
MV1.101 MV Storage 34;MV1.101 Bus 91;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.134_eq;5
MV1.101 MV Storage 35;MV1.101 Bus 92;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.135_eq;5
MV1.101 MV Storage 36;MV1.101 Bus 96;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.136_eq;5
MV1.101 MV Storage 37;MV1.101 Bus 12;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.101_LV3.101_eq;5
MV1.101 MV Storage 38;MV1.101 Bus 17;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.101_LV3.102_eq;5
MV1.101 MV Storage 39;MV1.101 Bus 72;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.101_LV3.103_eq;5
MV1.101 MV Storage 40;MV1.101 Bus 74;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.101_LV3.104_eq;5
MV1.101 MV Storage 41;MV1.101 Bus 80;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.101_LV3.105_eq;5
MV1.101 MV Storage 42;MV1.101 Bus 82;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.101_LV3.106_eq;5
MV1.101 MV Storage 43;MV1.101 Bus 83;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.101_LV3.107_eq;5
MV1.101 MV Storage 44;MV1.101 Bus 52;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.101_eq;5
MV1.101 MV Storage 45;MV1.101 Bus 53;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.102_eq;5
MV1.101 MV Storage 46;MV1.101 Bus 54;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.103_eq;5
MV1.101 MV Storage 47;MV1.101 Bus 55;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.104_eq;5
MV1.101 MV Storage 48;MV1.101 Bus 56;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.105_eq;5
MV1.101 MV Storage 49;MV1.101 Bus 60;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.106_eq;5
MV1.101 MV Storage 50;MV1.101 Bus 61;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.107_eq;5
MV1.101 MV Storage 51;MV1.101 Bus 65;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.108_eq;5
MV1.101 MV Storage 52;MV1.101 Bus 66;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.109_eq;5
MV1.101 MV Storage 53;MV1.101 Bus 73;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.101_LV4.110_eq;5
MV1.102 MV Storage 1;MV1.102 Bus 4;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.101_eq;5
MV1.102 MV Storage 2;MV1.102 Bus 5;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.102_eq;5
MV1.102 MV Storage 3;MV1.102 Bus 6;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.103_eq;5
MV1.102 MV Storage 4;MV1.102 Bus 7;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.104_eq;5
MV1.102 MV Storage 5;MV1.102 Bus 19;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.105_eq;5
MV1.102 MV Storage 6;MV1.102 Bus 20;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.106_eq;5
MV1.102 MV Storage 7;MV1.102 Bus 21;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.107_eq;5
MV1.102 MV Storage 8;MV1.102 Bus 22;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.108_eq;5
MV1.102 MV Storage 9;MV1.102 Bus 25;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.109_eq;5
MV1.102 MV Storage 10;MV1.102 Bus 27;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.110_eq;5
MV1.102 MV Storage 11;MV1.102 Bus 28;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.111_eq;5
MV1.102 MV Storage 12;MV1.102 Bus 29;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.112_eq;5
MV1.102 MV Storage 13;MV1.102 Bus 30;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.113_eq;5
MV1.102 MV Storage 14;MV1.102 Bus 40;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.114_eq;5
MV1.102 MV Storage 15;MV1.102 Bus 41;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.115_eq;5
MV1.102 MV Storage 16;MV1.102 Bus 43;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.116_eq;5
MV1.102 MV Storage 17;MV1.102 Bus 44;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.117_eq;5
MV1.102 MV Storage 18;MV1.102 Bus 45;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.118_eq;5
MV1.102 MV Storage 19;MV1.102 Bus 46;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.119_eq;5
MV1.102 MV Storage 20;MV1.102 Bus 47;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.120_eq;5
MV1.102 MV Storage 21;MV1.102 Bus 48;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.121_eq;5
MV1.102 MV Storage 22;MV1.102 Bus 58;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.122_eq;5
MV1.102 MV Storage 23;MV1.102 Bus 59;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.123_eq;5
MV1.102 MV Storage 24;MV1.102 Bus 63;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.124_eq;5
MV1.102 MV Storage 25;MV1.102 Bus 68;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.125_eq;5
MV1.102 MV Storage 26;MV1.102 Bus 70;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.126_eq;5
MV1.102 MV Storage 27;MV1.102 Bus 75;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.127_eq;5
MV1.102 MV Storage 28;MV1.102 Bus 76;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.128_eq;5
MV1.102 MV Storage 29;MV1.102 Bus 77;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.129_eq;5
MV1.102 MV Storage 30;MV1.102 Bus 87;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.130_eq;5
MV1.102 MV Storage 31;MV1.102 Bus 88;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.131_eq;5
MV1.102 MV Storage 32;MV1.102 Bus 89;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.132_eq;5
MV1.102 MV Storage 33;MV1.102 Bus 90;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.133_eq;5
MV1.102 MV Storage 34;MV1.102 Bus 91;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.134_eq;5
MV1.102 MV Storage 35;MV1.102 Bus 92;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.135_eq;5
MV1.102 MV Storage 36;MV1.102 Bus 96;PV_Storage;lv_rural1;-0.1558;0;0.5;0.1558;0.311482;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.102_LV1.136_eq;5
MV1.102 MV Storage 37;MV1.102 Bus 12;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.102_LV3.101_eq;5
MV1.102 MV Storage 38;MV1.102 Bus 17;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.102_LV3.102_eq;5
MV1.102 MV Storage 39;MV1.102 Bus 72;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.102_LV3.103_eq;5
MV1.102 MV Storage 40;MV1.102 Bus 74;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.102_LV3.104_eq;5
MV1.102 MV Storage 41;MV1.102 Bus 80;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.102_LV3.105_eq;5
MV1.102 MV Storage 42;MV1.102 Bus 82;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.102_LV3.106_eq;5
MV1.102 MV Storage 43;MV1.102 Bus 83;PV_Storage;lv_rural3;-0.0776;0;0.5;0.0776;0.15514;0.95;0.13;-0.0776;0;-0.0776;0.0776;MV1.102_LV3.107_eq;5
MV1.102 MV Storage 44;MV1.102 Bus 52;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.101_eq;5
MV1.102 MV Storage 45;MV1.102 Bus 53;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.102_eq;5
MV1.102 MV Storage 46;MV1.102 Bus 54;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.103_eq;5
MV1.102 MV Storage 47;MV1.102 Bus 55;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.104_eq;5
MV1.102 MV Storage 48;MV1.102 Bus 56;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.105_eq;5
MV1.102 MV Storage 49;MV1.102 Bus 60;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.106_eq;5
MV1.102 MV Storage 50;MV1.102 Bus 61;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.107_eq;5
MV1.102 MV Storage 51;MV1.102 Bus 65;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.108_eq;5
MV1.102 MV Storage 52;MV1.102 Bus 66;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.109_eq;5
MV1.102 MV Storage 53;MV1.102 Bus 73;PV_Storage;lv_semiurb4;-0.0137;0;0.5;0.0137;0.027374;0.95;0.13;-0.0137;0;-0.0137;0.0137;MV1.102_LV4.110_eq;5
