id;element1;element2;variable;subnet;voltLvl
MV1.103 Measurement 28;MV1.103 busbar1.1_1;HV1-MV1.103-Trafo1;p;MV1.103;3
MV1.103 Measurement 29;MV1.103 busbar1.2_1;HV1-MV1.103-Trafo2;p;MV1.103;3
MV1.103 Measurement 30;MV1.103 busbar1.1_1;HV1-MV1.103-Trafo1;q;MV1.103;3
MV1.103 Measurement 31;MV1.103 busbar1.2_1;HV1-MV1.103-Trafo2;q;MV1.103;3
MV1.103 Measurement 32;MV1.103 busbar1.1_1;HV1-MV1.103-Trafo1;i;MV1.103;3
MV1.103 Measurement 33;MV1.103 busbar1.2_1;HV1-MV1.103-Trafo2;i;MV1.103;3
MV1.104 Measurement 1;HV1 Bus 49;NULL;v;HV1_MV1.104;3
MV1.104 Measurement 2;HV1 Bus 50;NULL;v;HV1_MV1.104;3
MV1.104 Measurement 3;MV1.104 Bus 7_2;MV1.104 Line 5;p;MV1.104_Feeder1;5
MV1.104 Measurement 4;MV1.104 Bus 11_2;MV1.104 Line 9;p;MV1.104_Feeder1;5
MV1.104 Measurement 5;MV1.104 Bus 33_2;MV1.104 Line 31;p;MV1.104_Feeder4;5
MV1.104 Measurement 6;MV1.104 Bus 45_2;MV1.104 Line 43;p;MV1.104_Feeder5;5
MV1.104 Measurement 7;MV1.104 Bus 61_2;MV1.104 Line 59;p;MV1.104_Feeder6;5
MV1.104 Measurement 8;MV1.104 Bus 26_3;MV1.104 loop_line 3;p;MV1.104_Loop_Line;5
MV1.104 Measurement 9;MV1.104 Bus 39_2;MV1.104 loop_line 4;p;MV1.104_Loop_Line;5
MV1.104 Measurement 10;MV1.104 Bus 7_2;MV1.104 Line 5;q;MV1.104_Feeder1;5
MV1.104 Measurement 11;MV1.104 Bus 11_2;MV1.104 Line 9;q;MV1.104_Feeder1;5
MV1.104 Measurement 12;MV1.104 Bus 33_2;MV1.104 Line 31;q;MV1.104_Feeder4;5
MV1.104 Measurement 13;MV1.104 busbar1.1;NULL;v;MV1.104;5
MV1.104 Measurement 14;MV1.104 Bus 45_2;MV1.104 Line 43;q;MV1.104_Feeder5;5
MV1.104 Measurement 15;MV1.104 Bus 61_2;MV1.104 Line 59;q;MV1.104_Feeder6;5
MV1.104 Measurement 16;MV1.104 Bus 26_3;MV1.104 loop_line 3;q;MV1.104_Loop_Line;5
MV1.104 Measurement 17;MV1.104 Bus 39_2;MV1.104 loop_line 4;q;MV1.104_Loop_Line;5
MV1.104 Measurement 18;MV1.104 Bus 13;NULL;v;MV1.104_Feeder1;5
MV1.104 Measurement 19;MV1.104 Bus 31;NULL;v;MV1.104_Feeder4;5
MV1.104 Measurement 20;MV1.104 Bus 52;NULL;v;MV1.104_Feeder6;5
MV1.104 Measurement 21;MV1.104 Bus 13;NULL;p;MV1.104_Feeder1;5
MV1.104 Measurement 22;MV1.104 Bus 31;NULL;p;MV1.104_Feeder4;5
MV1.104 Measurement 23;MV1.104 Bus 52;NULL;p;MV1.104_Feeder6;5
MV1.104 Measurement 24;MV1.104 busbar1.2;NULL;v;MV1.104;5
MV1.104 Measurement 25;MV1.104 Bus 13;NULL;q;MV1.104_Feeder1;5
MV1.104 Measurement 26;MV1.104 Bus 31;NULL;q;MV1.104_Feeder4;5
MV1.104 Measurement 27;MV1.104 Bus 52;NULL;q;MV1.104_Feeder6;5
MV1.104 Measurement 28;MV1.104 busbar1.1_1;HV1-MV1.104-Trafo1;p;MV1.104;3
MV1.104 Measurement 29;MV1.104 busbar1.2_1;HV1-MV1.104-Trafo2;p;MV1.104;3
MV1.104 Measurement 30;MV1.104 busbar1.1_1;HV1-MV1.104-Trafo1;q;MV1.104;3
MV1.104 Measurement 31;MV1.104 busbar1.2_1;HV1-MV1.104-Trafo2;q;MV1.104;3
MV1.104 Measurement 32;MV1.104 busbar1.1_1;HV1-MV1.104-Trafo1;i;MV1.104;3
MV1.104 Measurement 33;MV1.104 busbar1.2_1;HV1-MV1.104-Trafo2;i;MV1.104;3
MV1.105 Measurement 1;HV1 Bus 65;NULL;v;HV1_MV1.105;3
MV1.105 Measurement 2;HV1 Bus 66;NULL;v;HV1_MV1.105;3
MV1.105 Measurement 3;MV1.105 Bus 7_2;MV1.105 Line 5;p;MV1.105_Feeder1;5
MV1.105 Measurement 4;MV1.105 Bus 11_2;MV1.105 Line 9;p;MV1.105_Feeder1;5
MV1.105 Measurement 5;MV1.105 Bus 33_2;MV1.105 Line 31;p;MV1.105_Feeder4;5
MV1.105 Measurement 6;MV1.105 Bus 45_2;MV1.105 Line 43;p;MV1.105_Feeder5;5
MV1.105 Measurement 7;MV1.105 Bus 61_2;MV1.105 Line 59;p;MV1.105_Feeder6;5
MV1.105 Measurement 8;MV1.105 Bus 26_3;MV1.105 loop_line 3;p;MV1.105_Loop_Line;5
MV1.105 Measurement 9;MV1.105 Bus 39_2;MV1.105 loop_line 4;p;MV1.105_Loop_Line;5
MV1.105 Measurement 10;MV1.105 Bus 7_2;MV1.105 Line 5;q;MV1.105_Feeder1;5
MV1.105 Measurement 11;MV1.105 Bus 11_2;MV1.105 Line 9;q;MV1.105_Feeder1;5
MV1.105 Measurement 12;MV1.105 Bus 33_2;MV1.105 Line 31;q;MV1.105_Feeder4;5
MV1.105 Measurement 13;MV1.105 busbar1.1;NULL;v;MV1.105;5
MV1.105 Measurement 14;MV1.105 Bus 45_2;MV1.105 Line 43;q;MV1.105_Feeder5;5
MV1.105 Measurement 15;MV1.105 Bus 61_2;MV1.105 Line 59;q;MV1.105_Feeder6;5
MV1.105 Measurement 16;MV1.105 Bus 26_3;MV1.105 loop_line 3;q;MV1.105_Loop_Line;5
MV1.105 Measurement 17;MV1.105 Bus 39_2;MV1.105 loop_line 4;q;MV1.105_Loop_Line;5
MV1.105 Measurement 18;MV1.105 Bus 13;NULL;v;MV1.105_Feeder1;5
MV1.105 Measurement 19;MV1.105 Bus 31;NULL;v;MV1.105_Feeder4;5
MV1.105 Measurement 20;MV1.105 Bus 52;NULL;v;MV1.105_Feeder6;5
MV1.105 Measurement 21;MV1.105 Bus 13;NULL;p;MV1.105_Feeder1;5
MV1.105 Measurement 22;MV1.105 Bus 31;NULL;p;MV1.105_Feeder4;5
MV1.105 Measurement 23;MV1.105 Bus 52;NULL;p;MV1.105_Feeder6;5
MV1.105 Measurement 24;MV1.105 busbar1.2;NULL;v;MV1.105;5
MV1.105 Measurement 25;MV1.105 Bus 13;NULL;q;MV1.105_Feeder1;5
MV1.105 Measurement 26;MV1.105 Bus 31;NULL;q;MV1.105_Feeder4;5
MV1.105 Measurement 27;MV1.105 Bus 52;NULL;q;MV1.105_Feeder6;5
MV1.105 Measurement 28;MV1.105 busbar1.1_1;HV1-MV1.105-Trafo1;p;MV1.105;3
MV1.105 Measurement 29;MV1.105 busbar1.2_1;HV1-MV1.105-Trafo2;p;MV1.105;3
MV1.105 Measurement 30;MV1.105 busbar1.1_1;HV1-MV1.105-Trafo1;q;MV1.105;3
MV1.105 Measurement 31;MV1.105 busbar1.2_1;HV1-MV1.105-Trafo2;q;MV1.105;3
MV1.105 Measurement 32;MV1.105 busbar1.1_1;HV1-MV1.105-Trafo1;i;MV1.105;3
MV1.105 Measurement 33;MV1.105 busbar1.2_1;HV1-MV1.105-Trafo2;i;MV1.105;3
MV1.106 Measurement 1;HV1 Bus 70;NULL;v;HV1_MV1.106;3
MV1.106 Measurement 2;HV1 Bus 69;NULL;v;HV1_MV1.106;3
MV1.106 Measurement 3;MV1.106 Bus 7_2;MV1.106 Line 5;p;MV1.106_Feeder1;5
MV1.106 Measurement 4;MV1.106 Bus 11_2;MV1.106 Line 9;p;MV1.106_Feeder1;5
MV1.106 Measurement 5;MV1.106 Bus 33_2;MV1.106 Line 31;p;MV1.106_Feeder4;5
MV1.106 Measurement 6;MV1.106 Bus 45_2;MV1.106 Line 43;p;MV1.106_Feeder5;5
MV1.106 Measurement 7;MV1.106 Bus 61_2;MV1.106 Line 59;p;MV1.106_Feeder6;5
MV1.106 Measurement 8;MV1.106 Bus 26_3;MV1.106 loop_line 3;p;MV1.106_Loop_Line;5
MV1.106 Measurement 9;MV1.106 Bus 39_2;MV1.106 loop_line 4;p;MV1.106_Loop_Line;5
MV1.106 Measurement 10;MV1.106 Bus 7_2;MV1.106 Line 5;q;MV1.106_Feeder1;5
MV1.106 Measurement 11;MV1.106 Bus 11_2;MV1.106 Line 9;q;MV1.106_Feeder1;5
MV1.106 Measurement 12;MV1.106 Bus 33_2;MV1.106 Line 31;q;MV1.106_Feeder4;5
MV1.106 Measurement 13;MV1.106 busbar1.1;NULL;v;MV1.106;5
MV1.106 Measurement 14;MV1.106 Bus 45_2;MV1.106 Line 43;q;MV1.106_Feeder5;5
MV1.106 Measurement 15;MV1.106 Bus 61_2;MV1.106 Line 59;q;MV1.106_Feeder6;5
MV1.106 Measurement 16;MV1.106 Bus 26_3;MV1.106 loop_line 3;q;MV1.106_Loop_Line;5
MV1.106 Measurement 17;MV1.106 Bus 39_2;MV1.106 loop_line 4;q;MV1.106_Loop_Line;5
MV1.106 Measurement 18;MV1.106 Bus 13;NULL;v;MV1.106_Feeder1;5
MV1.106 Measurement 19;MV1.106 Bus 31;NULL;v;MV1.106_Feeder4;5
MV1.106 Measurement 20;MV1.106 Bus 52;NULL;v;MV1.106_Feeder6;5
MV1.106 Measurement 21;MV1.106 Bus 13;NULL;p;MV1.106_Feeder1;5
MV1.106 Measurement 22;MV1.106 Bus 31;NULL;p;MV1.106_Feeder4;5
MV1.106 Measurement 23;MV1.106 Bus 52;NULL;p;MV1.106_Feeder6;5
MV1.106 Measurement 24;MV1.106 busbar1.2;NULL;v;MV1.106;5
MV1.106 Measurement 25;MV1.106 Bus 13;NULL;q;MV1.106_Feeder1;5
MV1.106 Measurement 26;MV1.106 Bus 31;NULL;q;MV1.106_Feeder4;5
MV1.106 Measurement 27;MV1.106 Bus 52;NULL;q;MV1.106_Feeder6;5
MV1.106 Measurement 28;MV1.106 busbar1.1_1;HV1-MV1.106-Trafo1;p;MV1.106;3
MV1.106 Measurement 29;MV1.106 busbar1.2_1;HV1-MV1.106-Trafo2;p;MV1.106;3
MV1.106 Measurement 30;MV1.106 busbar1.1_1;HV1-MV1.106-Trafo1;q;MV1.106;3
MV1.106 Measurement 31;MV1.106 busbar1.2_1;HV1-MV1.106-Trafo2;q;MV1.106;3
MV1.106 Measurement 32;MV1.106 busbar1.1_1;HV1-MV1.106-Trafo1;i;MV1.106;3
MV1.106 Measurement 33;MV1.106 busbar1.2_1;HV1-MV1.106-Trafo2;i;MV1.106;3
MV1.107 Measurement 1;HV1 Bus 75;NULL;v;HV1_MV1.107;3
MV1.107 Measurement 2;HV1 Bus 76;NULL;v;HV1_MV1.107;3
MV1.107 Measurement 3;MV1.107 Bus 7_2;MV1.107 Line 5;p;MV1.107_Feeder1;5
MV1.107 Measurement 4;MV1.107 Bus 11_2;MV1.107 Line 9;p;MV1.107_Feeder1;5
MV1.107 Measurement 5;MV1.107 Bus 33_2;MV1.107 Line 31;p;MV1.107_Feeder4;5
MV1.107 Measurement 6;MV1.107 Bus 45_2;MV1.107 Line 43;p;MV1.107_Feeder5;5
MV1.107 Measurement 7;MV1.107 Bus 61_2;MV1.107 Line 59;p;MV1.107_Feeder6;5
MV1.107 Measurement 8;MV1.107 Bus 26_3;MV1.107 loop_line 3;p;MV1.107_Loop_Line;5
MV1.107 Measurement 9;MV1.107 Bus 39_2;MV1.107 loop_line 4;p;MV1.107_Loop_Line;5
MV1.107 Measurement 10;MV1.107 Bus 7_2;MV1.107 Line 5;q;MV1.107_Feeder1;5
MV1.107 Measurement 11;MV1.107 Bus 11_2;MV1.107 Line 9;q;MV1.107_Feeder1;5
MV1.107 Measurement 12;MV1.107 Bus 33_2;MV1.107 Line 31;q;MV1.107_Feeder4;5
MV1.107 Measurement 13;MV1.107 busbar1.1;NULL;v;MV1.107;5
MV1.107 Measurement 14;MV1.107 Bus 45_2;MV1.107 Line 43;q;MV1.107_Feeder5;5
MV1.107 Measurement 15;MV1.107 Bus 61_2;MV1.107 Line 59;q;MV1.107_Feeder6;5
MV1.107 Measurement 16;MV1.107 Bus 26_3;MV1.107 loop_line 3;q;MV1.107_Loop_Line;5
MV1.107 Measurement 17;MV1.107 Bus 39_2;MV1.107 loop_line 4;q;MV1.107_Loop_Line;5
MV1.107 Measurement 18;MV1.107 Bus 13;NULL;v;MV1.107_Feeder1;5
MV1.107 Measurement 19;MV1.107 Bus 31;NULL;v;MV1.107_Feeder4;5
MV1.107 Measurement 20;MV1.107 Bus 52;NULL;v;MV1.107_Feeder6;5
MV1.107 Measurement 21;MV1.107 Bus 13;NULL;p;MV1.107_Feeder1;5
MV1.107 Measurement 22;MV1.107 Bus 31;NULL;p;MV1.107_Feeder4;5
MV1.107 Measurement 23;MV1.107 Bus 52;NULL;p;MV1.107_Feeder6;5
MV1.107 Measurement 24;MV1.107 busbar1.2;NULL;v;MV1.107;5
MV1.107 Measurement 25;MV1.107 Bus 13;NULL;q;MV1.107_Feeder1;5
MV1.107 Measurement 26;MV1.107 Bus 31;NULL;q;MV1.107_Feeder4;5
MV1.107 Measurement 27;MV1.107 Bus 52;NULL;q;MV1.107_Feeder6;5
MV1.107 Measurement 28;MV1.107 busbar1.1_1;HV1-MV1.107-Trafo1;p;MV1.107;3
MV1.107 Measurement 29;MV1.107 busbar1.2_1;HV1-MV1.107-Trafo2;p;MV1.107;3
MV1.107 Measurement 30;MV1.107 busbar1.1_1;HV1-MV1.107-Trafo1;q;MV1.107;3
MV1.107 Measurement 31;MV1.107 busbar1.2_1;HV1-MV1.107-Trafo2;q;MV1.107;3
MV1.107 Measurement 32;MV1.107 busbar1.1_1;HV1-MV1.107-Trafo1;i;MV1.107;3
MV1.107 Measurement 33;MV1.107 busbar1.2_1;HV1-MV1.107-Trafo2;i;MV1.107;3
MV1.108 Measurement 1;HV1 Bus 102;NULL;v;HV1_MV1.108;3
MV1.108 Measurement 2;HV1 Bus 101;NULL;v;HV1_MV1.108;3
MV1.108 Measurement 3;MV1.108 Bus 7_2;MV1.108 Line 5;p;MV1.108_Feeder1;5
MV1.108 Measurement 4;MV1.108 Bus 11_2;MV1.108 Line 9;p;MV1.108_Feeder1;5
MV1.108 Measurement 5;MV1.108 Bus 33_2;MV1.108 Line 31;p;MV1.108_Feeder4;5
MV1.108 Measurement 6;MV1.108 Bus 45_2;MV1.108 Line 43;p;MV1.108_Feeder5;5
MV1.108 Measurement 7;MV1.108 Bus 61_2;MV1.108 Line 59;p;MV1.108_Feeder6;5
MV1.108 Measurement 8;MV1.108 Bus 26_3;MV1.108 loop_line 3;p;MV1.108_Loop_Line;5
MV1.108 Measurement 9;MV1.108 Bus 39_2;MV1.108 loop_line 4;p;MV1.108_Loop_Line;5
MV1.108 Measurement 10;MV1.108 Bus 7_2;MV1.108 Line 5;q;MV1.108_Feeder1;5
MV1.108 Measurement 11;MV1.108 Bus 11_2;MV1.108 Line 9;q;MV1.108_Feeder1;5
MV1.108 Measurement 12;MV1.108 Bus 33_2;MV1.108 Line 31;q;MV1.108_Feeder4;5
MV1.108 Measurement 13;MV1.108 busbar1.1;NULL;v;MV1.108;5
MV1.108 Measurement 14;MV1.108 Bus 45_2;MV1.108 Line 43;q;MV1.108_Feeder5;5
MV1.108 Measurement 15;MV1.108 Bus 61_2;MV1.108 Line 59;q;MV1.108_Feeder6;5
MV1.108 Measurement 16;MV1.108 Bus 26_3;MV1.108 loop_line 3;q;MV1.108_Loop_Line;5
MV1.108 Measurement 17;MV1.108 Bus 39_2;MV1.108 loop_line 4;q;MV1.108_Loop_Line;5
MV1.108 Measurement 18;MV1.108 Bus 13;NULL;v;MV1.108_Feeder1;5
MV1.108 Measurement 19;MV1.108 Bus 31;NULL;v;MV1.108_Feeder4;5
MV1.108 Measurement 20;MV1.108 Bus 52;NULL;v;MV1.108_Feeder6;5
MV1.108 Measurement 21;MV1.108 Bus 13;NULL;p;MV1.108_Feeder1;5
MV1.108 Measurement 22;MV1.108 Bus 31;NULL;p;MV1.108_Feeder4;5
MV1.108 Measurement 23;MV1.108 Bus 52;NULL;p;MV1.108_Feeder6;5
MV1.108 Measurement 24;MV1.108 busbar1.2;NULL;v;MV1.108;5
MV1.108 Measurement 25;MV1.108 Bus 13;NULL;q;MV1.108_Feeder1;5
MV1.108 Measurement 26;MV1.108 Bus 31;NULL;q;MV1.108_Feeder4;5
MV1.108 Measurement 27;MV1.108 Bus 52;NULL;q;MV1.108_Feeder6;5
MV1.108 Measurement 28;MV1.108 busbar1.1_1;HV1-MV1.108-Trafo1;p;MV1.108;3
MV1.108 Measurement 29;MV1.108 busbar1.2_1;HV1-MV1.108-Trafo2;p;MV1.108;3
MV1.108 Measurement 30;MV1.108 busbar1.1_1;HV1-MV1.108-Trafo1;q;MV1.108;3
MV1.108 Measurement 31;MV1.108 busbar1.2_1;HV1-MV1.108-Trafo2;q;MV1.108;3
MV1.108 Measurement 32;MV1.108 busbar1.1_1;HV1-MV1.108-Trafo1;i;MV1.108;3
MV1.108 Measurement 33;MV1.108 busbar1.2_1;HV1-MV1.108-Trafo2;i;MV1.108;3
MV2.102 Measurement 1;HV1 Bus 89;NULL;v;HV1_MV2.102;3
MV2.102 Measurement 2;HV1 Bus 90;NULL;v;HV1_MV2.102;3
MV2.102 Measurement 3;MV2.102 busbar1.1_2;MV2.102 Line 1;p;MV2.102_Feeder1;5
MV2.102 Measurement 4;MV2.102 Bus 13_2;MV2.102 Line 11;p;MV2.102_Feeder1;5
MV2.102 Measurement 5;MV2.102 Bus 14_2;MV2.102 Line 12;p;MV2.102_Feeder1;5
MV2.102 Measurement 6;MV2.102 busbar1.1_3;MV2.102 Line 23;p;MV2.102_Feeder2;5
MV2.102 Measurement 7;MV2.102 busbar1.1_4;MV2.102 Line 35;p;MV2.102_Feeder3;5
MV2.102 Measurement 8;MV2.102 Bus 43_3;MV2.102 Line 45;p;MV2.102_Feeder3;5
MV2.102 Measurement 9;MV2.102 busbar1.1_5;MV2.102 Line 46;p;MV2.102_Feeder4;5
MV2.102 Measurement 10;MV2.102 busbar1.1_6;MV2.102 Line 59;p;MV2.102_Feeder5;5
MV2.102 Measurement 11;MV2.102 busbar1.1_2;MV2.102 Line 1;q;MV2.102_Feeder1;5
MV2.102 Measurement 12;MV2.102 Bus 13_2;MV2.102 Line 11;q;MV2.102_Feeder1;5
MV2.102 Measurement 13;MV2.102 busbar1.1;NULL;v;MV2.102;5
MV2.102 Measurement 14;MV2.102 Bus 14_2;MV2.102 Line 12;q;MV2.102_Feeder1;5
MV2.102 Measurement 15;MV2.102 busbar1.1_3;MV2.102 Line 23;q;MV2.102_Feeder2;5
MV2.102 Measurement 16;MV2.102 busbar1.1_4;MV2.102 Line 35;q;MV2.102_Feeder3;5
MV2.102 Measurement 17;MV2.102 Bus 43_3;MV2.102 Line 45;q;MV2.102_Feeder3;5
MV2.102 Measurement 18;MV2.102 busbar1.1_5;MV2.102 Line 46;q;MV2.102_Feeder4;5
MV2.102 Measurement 19;MV2.102 busbar1.1_6;MV2.102 Line 59;q;MV2.102_Feeder5;5
MV2.102 Measurement 20;MV2.102 busbar1.1;NULL;v;MV2.102;5
MV2.102 Measurement 21;MV2.102 Bus 14;NULL;v;MV2.102_Feeder1;5
MV2.102 Measurement 22;MV2.102 Bus 48;NULL;v;MV2.102_Feeder3;5
MV2.102 Measurement 23;MV2.102 busbar1.1;NULL;p;MV2.102;5
MV2.102 Measurement 24;MV2.102 busbar1.2;NULL;v;MV2.102;5
MV2.102 Measurement 25;MV2.102 Bus 14;NULL;p;MV2.102_Feeder1;5
MV2.102 Measurement 26;MV2.102 Bus 48;NULL;p;MV2.102_Feeder3;5
MV2.102 Measurement 27;MV2.102 busbar1.1;NULL;q;MV2.102;5
MV2.102 Measurement 28;MV2.102 Bus 14;NULL;q;MV2.102_Feeder1;5
MV2.102 Measurement 29;MV2.102 Bus 48;NULL;q;MV2.102_Feeder3;5
MV2.102 Measurement 30;MV2.102 busbar1.1_1;HV1-MV2.102-Trafo1;p;MV2.102;3
MV2.102 Measurement 31;MV2.102 busbar1.2_1;HV1-MV2.102-Trafo2;p;MV2.102;3
MV2.102 Measurement 32;MV2.102 busbar1.1_1;HV1-MV2.102-Trafo1;q;MV2.102;3
MV2.102 Measurement 33;MV2.102 busbar1.2_1;HV1-MV2.102-Trafo2;q;MV2.102;3
MV2.102 Measurement 34;MV2.102 busbar1.1_1;HV1-MV2.102-Trafo1;i;MV2.102;3
MV2.102 Measurement 35;MV2.102 busbar1.2_1;HV1-MV2.102-Trafo2;i;MV2.102;3
MV2.103 Measurement 1;HV1 Bus 94;NULL;v;HV1_MV2.103;3
MV2.103 Measurement 2;HV1 Bus 93;NULL;v;HV1_MV2.103;3
MV2.103 Measurement 3;MV2.103 busbar1.1_2;MV2.103 Line 1;p;MV2.103_Feeder1;5
MV2.103 Measurement 4;MV2.103 Bus 13_2;MV2.103 Line 11;p;MV2.103_Feeder1;5
MV2.103 Measurement 5;MV2.103 Bus 14_2;MV2.103 Line 12;p;MV2.103_Feeder1;5
MV2.103 Measurement 6;MV2.103 busbar1.1_3;MV2.103 Line 23;p;MV2.103_Feeder2;5
MV2.103 Measurement 7;MV2.103 busbar1.1_4;MV2.103 Line 35;p;MV2.103_Feeder3;5
MV2.103 Measurement 8;MV2.103 Bus 43_3;MV2.103 Line 45;p;MV2.103_Feeder3;5
MV2.103 Measurement 9;MV2.103 busbar1.1_5;MV2.103 Line 46;p;MV2.103_Feeder4;5
MV2.103 Measurement 10;MV2.103 busbar1.1_6;MV2.103 Line 59;p;MV2.103_Feeder5;5
MV2.103 Measurement 11;MV2.103 busbar1.1_2;MV2.103 Line 1;q;MV2.103_Feeder1;5
